Disease,Specialist,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Hypertension,Cardiologist ,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Hypertension,Cardiologist ,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension,Cardiologist ,headache,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension,Cardiologist ,headache,chest_pain,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension,Cardiologist ,headache,chest_pain,dizziness,lack_of_concentration,,,,,,,,,,,,,
Hypertension,Cardiologist ,headache,chest_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Hypertension,Cardiologist ,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Hypertension,Cardiologist ,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension,Cardiologist ,headache,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension,Cardiologist ,headache,chest_pain,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Migraine,Neurologist,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,
Migraine,Neurologist,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,Neurologist,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,Neurologist,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,Neurologist,acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,Neurologist,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,Neurologist,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,Neurologist,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances,,,,,,,,,
Migraine,Neurologist,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances,,,,,,,,,
Migraine,Neurologist,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,,,,,,,,,
Cervical spondylosis,Neurologist,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,
Cervical spondylosis,Neurologist,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,
Cervical spondylosis,Neurologist,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,Neurologist,back_pain,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,Neurologist,back_pain,weakness_in_limbs,dizziness,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,Neurologist,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,Neurologist,back_pain,weakness_in_limbs,neck_pain,dizziness,,,,,,,,,,,,,
Cervical spondylosis,Neurologist,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,
Cervical spondylosis,Neurologist,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,Neurologist,back_pain,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Paralysis (brain hemorrhage),Neurologist,vomiting,headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage),Neurologist,vomiting,headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage),Neurologist,headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),Neurologist,vomiting,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),Neurologist,vomiting,headache,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),Neurologist,vomiting,headache,weakness_of_one_body_side,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),Neurologist,vomiting,headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage),Neurologist,headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),Neurologist,vomiting,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),Neurologist,vomiting,headache,altered_sensorium,,,,,,,,,,,,,,
Jaundice,Gastroenterologist,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,
Jaundice,Gastroenterologist,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,
Jaundice,Gastroenterologist,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,
Jaundice,Gastroenterologist,itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,
Jaundice,Gastroenterologist,itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,
Jaundice,Gastroenterologist,itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,
Jaundice,Gastroenterologist,itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,
Jaundice,Gastroenterologist,itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain,,,,,,,,,,
Jaundice,Gastroenterologist,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain,,,,,,,,,,
Jaundice,Gastroenterologist,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,,,,,,,,,,
Malaria,Internal Medcine,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,
Malaria,Internal Medcine,chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,
Malaria,Internal Medcine,chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,
Malaria,Internal Medcine,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,Internal Medcine,chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,Internal Medcine,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,Internal Medcine,chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,Internal Medcine,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,Internal Medcine,chills,vomiting,high_fever,sweating,headache,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,Internal Medcine,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,
Chicken pox,Dermatologist,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,
Chicken pox,Dermatologist,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,Dermatologist,itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,Dermatologist,itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,Dermatologist,itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,Dermatologist,itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,Dermatologist,itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,Dermatologist,itching,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,Dermatologist,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,Dermatologist,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,malaise,red_spots_over_body,,,,,,,
Dengue,Internal Medcine,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain,red_spots_over_body,,,,
Dengue,Internal Medcine,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body,,,,
Dengue,Internal Medcine,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,,,,
Dengue,Internal Medcine,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,
Dengue,Internal Medcine,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,
Dengue,Internal Medcine,skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,
Dengue,Internal Medcine,skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,
Dengue,Internal Medcine,skin_rash,chills,joint_pain,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,
Dengue,Internal Medcine,skin_rash,chills,joint_pain,vomiting,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,
Dengue,Internal Medcine,skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,
Typhoid,Pediatrician,chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,
Typhoid,Pediatrician,chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,
Typhoid,Pediatrician,chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,
Typhoid,Pediatrician,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,
Typhoid,Pediatrician,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain,,,,,,,
Typhoid,Pediatrician,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,belly_pain,,,,,,,
Typhoid,Pediatrician,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),,,,,,,
Typhoid,Pediatrician,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,
Typhoid,Pediatrician,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,
Typhoid,Pediatrician,chills,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,
hepatitis A,Hepatologist,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,
hepatitis A,Hepatologist,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,
hepatitis A,Hepatologist,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,
hepatitis A,Hepatologist,joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,
hepatitis A,Hepatologist,joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,
hepatitis A,Hepatologist,joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,
hepatitis A,Hepatologist,joint_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,
hepatitis A,Hepatologist,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,
hepatitis A,Hepatologist,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,
hepatitis A,Hepatologist,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,
Hepatitis B,Hepatologist,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,
Hepatitis B,Hepatologist,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,
Hepatitis B,Hepatologist,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,Hepatologist,itching,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,Hepatologist,itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,Hepatologist,itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,Hepatologist,itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
